Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Other Economic Sector,Certified,33605,KFORCE INC.,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,48335,TECHNOLOGY CONSULTANTS-MA; INC.,Computer and Information Systems Managers,INDIA
IT,Certified,60563,E GEN SOLUTIONS; INC,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Database Administrators,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Computer Software Engineers; Systems Software,INDIA
Advanced Mfg,Certified,19046,JOHN CACOVEAN ORTHODONTIC LAB,Dental Laboratory Technicians,ROMANIA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Applications,INDIA
IT,Certified,01702,GLASSHOUSE TECHNOLOGIES INC.,Computer Systems Analysts,INDIA
Health Care,Certified,85013,ENDOCRINOLOGY ASSOCIATES PA,Physician Assistants,SOUTH KOREA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Electronics Engineers; Except Computer,INDIA
Educational Services,Certified,44242-0001,KENT STATE UNIVERSITY,Instructional Coordinators,INDIA
Other Economic Sector,Certified,60016,DARIUSZ KROL,Nannies,THAILAND
IT,Certified,18938-1079,VANTAGE LABS LLC,Computer Programmers,NEPAL
Not Available,Denied,77028,GOLD STAR METALS,Purchasing Agents; Except Wholesale; Retail; and Farm Products,INDIA
IT,Certified,07080,NIHAKI SYSTEMS INC,Computer Software Engineers; Applications,INDIA
IT,Certified,94065,ORACLE AMERICA; INC.,Computer Software Engineers; Applications,UNITED KINGDOM
Hospitality,Certified,11963,TUTTO II GIORNO II D/B/A TUTTO IL GIORNO,Chefs and Head Cooks,ITALY
Retail,Certified,10001,MIYA SHOJI & INTERIORS INC,Commercial and Industrial Designers,JAPAN
Advanced Mfg,Certified,61944,NORTH AMERICAN LIGHTING; INC.,Electrical Engineers,INDIA
Energy,Certified,45342,JATRODIESEL; INC,Engineering Managers,INDIA
IT,Certified,48083,ICONMA; LLC,Human Resources; Training; and Labor Relations Specialists; All Other*,UNITED KINGDOM
