[['job_info_work_city', 'job_info_work_state']]
[['Fremont', 'CALIFORNIA']]
[['Gainesville', 'TEXAS']]
[['Little Ferry', 'NEW JERSEY']]
[['PISCATAWAY', 'NEW JERSEY']]
[['Mountain View', 'CALIFORNIA']]
[['Alameda', 'CALIFORNIA']]
[['Irvine', 'CALIFORNIA']]
[['Chantilly', 'VIRGINIA']]
[['Southborough', 'MASSACHUSETTS']]
[['Redmond', 'WASHINGTON']]
[['Omaha', 'NEBRASKA']]
[['Annapolis', 'MARYLAND']]
[['Tampa', 'FLORIDA']]
[['Waltham', 'MASSACHUSETTS']]
[['Jersey City', 'NEW JERSEY']]
[['NEWARK', 'NEW JERSEY']]
[['Somers', 'NEW YORK']]
[['Woodbridge', 'NEW JERSEY']]
[['Lynwood', 'CALIFORNIA']]
[['SOMERSET', 'NEW JERSEY']]
[['Redwood Shores', 'CALIFORNIA']]
[['Austin', 'TEXAS']]
[['Teaneck', 'NEW JERSEY']]
[['Redmond', 'WASHINGTON']]
[['San Jose', 'CALIFORNIA']]
[['San Diego', 'CALIFORNIA']]
[['Philadelphia', 'PENNSYLVANIA']]
[['San Jose', 'CALIFORNIA']]
[['West Long Branch', 'NEW JERSEY']]
[['SANTA ANA', 'CALIFORNIA']]
[['Irvine', 'CALIFORNIA']]
[['Jersey City', 'NEW JERSEY']]
[['New York', 'NEW YORK']]
[['Cupertino', 'CALIFORNIA']]
[['Cambridge', 'MASSACHUSETTS']]
[['Great Neck', 'NEW YORK']]
[['AUSTIN', 'TEXAS']]
[['Redmond', 'WASHINGTON']]
[['PLANO', 'TEXAS']]
[['PHENIX CITY', 'GEORGIA']]
[['SAG HARBOR', 'NEW YORK']]
[['CAMBRIDGE', 'MASSACHUSETTS']]
[['Dallas', 'TEXAS']]
[['Naperville', 'ILLINOIS']]
[['Redmond', 'WASHINGTON']]
[['NORWOOD', 'NEW JERSEY']]
[['Morris Plains', 'NEW JERSEY']]
[['Addison', 'TEXAS']]
[['Braintree', 'MASSACHUSETTS']]
[['North Andover', 'MASSACHUSETTS']]
[['Brookings', 'SOUTH DAKOTA']]
[['Teaneck', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['New York', 'NEW YORK']]
[['Woburn', 'MASSACHUSETTS']]
[['Redmond', 'WASHINGTON']]
[['Teaneck', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['Tucson', 'ARIZONA']]
[['Bullhead City', 'ARIZONA']]
[['Chantilly', 'VIRGINIA']]
[['Tampa', 'FLORIDA']]
[['Lombard', 'ILLINOIS']]
[['DeKalb', 'ILLINOIS']]
[['Kirkland', 'WASHINGTON']]
[['Irvine', 'CALIFORNIA']]
[['Alpharetta', 'GEORGIA']]
[['Teaneck', 'NEW JERSEY']]
[['New Albany', 'OHIO']]
[['Schaumburg', 'ILLINOIS']]
[['Alpharetta', 'GEORGIA']]
[['Ann Arbor', 'MICHIGAN']]
[['Alpharetta', 'GEORGIA']]
[['Alpharetta', 'GEORGIA']]
[['Santa Monica', 'CALIFORNIA']]
[['Palo Alto', 'CALIFORNIA']]
[['Teaneck', 'NEW JERSEY']]
[['Howard Beach', 'NEW YORK']]
[['Teaneck', 'NEW JERSEY']]
[['FRAMINGHAM', 'MASSACHUSETTS']]
[['New York', 'NEW YORK']]
[['NORWOOD', 'NEW JERSEY']]
[['CLIFFWOOD BEACH', 'NEW JERSEY']]
[['Alpharetta', 'GEORGIA']]
[['Irving', 'TEXAS']]
[['Burlington', 'MASSACHUSETTS']]
[['Pittsburgh', 'PENNSYLVANIA']]
[['EL PASO', 'TEXAS']]
[['Greenbelt', 'MARYLAND']]
[['Teaneck', 'NEW JERSEY']]
[['Tampa', 'FLORIDA']]
[['Chicago', 'ILLINOIS']]
[['San Francisco', 'CALIFORNIA']]
[['Riverside', 'CALIFORNIA']]
[['Farmington', 'MICHIGAN']]
[['Forest Hills', 'NEW YORK']]
[['New York', 'NEW YORK']]
[['Glendale', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Brookfield', 'WISCONSIN']]
[['Memphis', 'TENNESSEE']]
[['Mount Airy', 'MARYLAND']]
[['Atlanta', 'GEORGIA']]
[['New York', 'NEW YORK']]
[['Brenham', 'TEXAS']]
[['Buffalo', 'NEW YORK']]
[['Miami', 'FLORIDA']]
[['Los Angeles', 'CALIFORNIA']]
[['St. Bonifacius', 'MINNESOTA']]
[['Teaneck', 'NEW JERSEY']]
[['Westborough', 'MASSACHUSETTS']]
[['St. Louis', 'MISSOURI']]
[['Irvine', 'CALIFORNIA']]
[['Fremont', 'CALIFORNIA']]
[['Teaneck', 'NEW JERSEY']]
[['Minneapolis', 'MINNESOTA']]
[['Teaneck', 'NEW JERSEY']]
[['Miami', 'FLORIDA']]
[['Palo Alto', 'CALIFORNIA']]
[['Teaneck', 'NEW JERSEY']]
[['Santa Rosa', 'CALIFORNIA']]
[['Santa Rosa', 'CALIFORNIA']]
[['Sanford', 'NORTH CAROLINA']]
[['Washington', 'DISTRICT OF COLUMBIA']]
[['Los Angeles', 'CALIFORNIA']]
[['Pleasanton', 'CALIFORNIA']]
[['Redwood City', 'CALIFORNIA']]
[['Irving', 'TEXAS']]
[['Farmington Hills', 'MICHIGAN']]
[['Mountain View', 'CALIFORNIA']]
[['Colorado Springs', 'COLORADO']]
[['San Jose', 'CALIFORNIA']]
[['Nashua', 'NEW HAMPSHIRE']]
[['Sunnyvale', 'CALIFORNIA']]
[['WHITE PLAINS', 'NEW YORK']]
[['Teaneck', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['Farmington', 'MICHIGAN']]
[['La Verne', 'CALIFORNIA']]
[['PERTH AMBOY', 'NEW JERSEY']]
[['Marlborough', 'MASSACHUSETTS']]
[['MAPLEWOOD', 'NEW JERSEY']]
[['Princeton', 'NEW JERSEY']]
[['St. Louis', 'MISSOURI']]
[['Fremont', 'CALIFORNIA']]
[['RIVERSIDE', 'CONNECTICUT']]
[['San Jose', 'CALIFORNIA']]
[['Wichita', 'KANSAS']]
[['San Jose', 'CALIFORNIA']]
[['San Mateo', 'CALIFORNIA']]
[['EDISON', 'NEW JERSEY']]
[['Atlanta', 'GEORGIA']]
[['Sunrise', 'FLORIDA']]
[['Temple Terrace', 'FLORIDA']]
[['Aliso Viejo', 'CALIFORNIA']]
[['Warrenville', 'ILLINOIS']]
[['Ashburn', 'VIRGINIA']]
[['Tallahassee', 'FLORIDA']]
[['Northville', 'MICHIGAN']]
[['Newark', 'DELAWARE']]
[['Louisville', 'KENTUCKY']]
[['Alpharetta', 'GEORGIA']]
[['Ann Arbor', 'MICHIGAN']]
[['Orangeburg', 'NEW YORK']]
[['Irving,', 'TEXAS']]
[['Campbell', 'CALIFORNIA']]
[['NEW YORK', 'NEW YORK']]
[['Redmond', 'WASHINGTON']]
[['Atlanta', 'GEORGIA']]
[['Windsor', 'CONNECTICUT']]
[['Teaneck', 'NEW JERSEY']]
[['High Point', 'NORTH CAROLINA']]
[['Irvine', 'CALIFORNIA']]
[['Alpharetta', 'GEORGIA']]
[['Naperville', 'ILLINOIS']]
[['Temple Terrace', 'FLORIDA']]
[['Miami', 'FLORIDA']]
[['ATLANTA', 'GEORGIA']]
[['New York', 'NEW YORK']]
[['Irving', 'TEXAS']]
[['Princeton', 'NEW JERSEY']]
[['Sag Harbor', 'NEW YORK']]
[['Ann Arbor', 'MICHIGAN']]
[['Alexandria', 'VIRGINIA']]
[['Winter Haven', 'FLORIDA']]
[['Teaneck', 'NEW JERSEY']]
[['Cambridge', 'MASSACHUSETTS']]
[['Cambridge', 'MASSACHUSETTS']]
[['Cambridge', 'MASSACHUSETTS']]
[['San Diego', 'CALIFORNIA']]
[['DUNN LORING', 'VIRGINIA']]
[['Sunnyvale', 'CALIFORNIA']]
[['Santa Rosa', 'CALIFORNIA']]
[['LAKE FOREST', 'CALIFORNIA']]
[['MARIETTA', 'GEORGIA']]
[['Redmond', 'WASHINGTON']]
[['Camarillo', 'CALIFORNIA']]
[['Alpharetta', 'GEORGIA']]
[['GLENDALE', 'CALIFORNIA']]
[['Reston', 'VIRGINIA']]
[['Salt Lake City', 'UTAH']]
[['Tampa', 'FLORIDA']]
[['Richardson', 'TEXAS']]
[['Waukesha', 'WISCONSIN']]
[['Maple Shage', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['Temple Terrace', 'FLORIDA']]
[['Newark', 'DELAWARE']]
[['SAN JOSE', 'CALIFORNIA']]
[['Teaneck', 'NEW JERSEY']]
[['Redwood Shores', 'CALIFORNIA']]
[['Aliso Viejo', 'CALIFORNIA']]
[['Temple Terrace', 'FLORIDA']]
[['WEST CHICAGO', 'ILLINOIS']]
[['Cranbury', 'NEW JERSEY']]
[['Farmington Hills', 'MICHIGAN']]
[['Dayton', 'NEW JERSEY']]
[['Somers', 'NEW YORK']]
[['San Francisco', 'CALIFORNIA']]
[['Oxnard', 'CALIFORNIA']]
[['Jersey City', 'NEW JERSEY']]
[['Atlanta', 'GEORGIA']]
[['Chicago', 'ILLINOIS']]
[['Boston', 'MASSACHUSETTS']]
[['Livingston', 'NEW JERSEY']]
[['San Rafael', 'CALIFORNIA']]
[['San Mateo', 'CALIFORNIA']]
[['Rosemont', 'ILLINOIS']]
[['Brockton', 'MASSACHUSETTS']]
[['Irving', 'TEXAS']]
[['New York', 'NEW YORK']]
[['St. Charles', 'ILLINOIS']]
[['Brooklyn', 'NEW YORK']]
[['Santa Clara', 'CALIFORNIA']]
[['Bethesda', 'MARYLAND']]
[['Cincinnati', 'OHIO']]
[['Tampa', 'FLORIDA']]
[['San Antonio', 'TEXAS']]
[['Princeton', 'NEW JERSEY']]
[['Research Triangle Park', 'NORTH CAROLINA']]
[['Redmond', 'WASHINGTON']]
[['Peoria', 'ILLINOIS']]
[['Temple Terrace', 'FLORIDA']]
[['Brooklyn', 'NEW YORK']]
[['Temple Terrace', 'FLORIDA']]
[['Northbrook', 'ILLINOIS']]
[['Sunnyvale', 'CALIFORNIA']]
[['Lafayette', 'INDIANA']]
[['Mountain View', 'CALIFORNIA']]
[['Troy', 'MICHIGAN']]
[['Mountain View', 'CALIFORNIA']]
[['Orangevale', 'CALIFORNIA']]
[['Irving', 'TEXAS']]
[['Somerset', 'NEW JERSEY']]
[['Tampa', 'FLORIDA']]
[['Tampa', 'FLORIDA']]
[['Tampa', 'FLORIDA']]
[['Santa Clara', 'CALIFORNIA']]
[['SCARSDALE', 'NEW YORK']]
[['Newark', 'DELAWARE']]
[['Palo Alto', 'CALIFORNIA']]
[['DUBLIN', 'OHIO']]
[['Westlake Village', 'CALIFORNIA']]
[['Toledo', 'OHIO']]
[['Charlestown', 'MASSACHUSETTS']]
[['Southfield', 'MICHIGAN']]
[['New York', 'NEW YORK']]
[['Jamestown', 'RHODE ISLAND']]
[['Chicago', 'ILLINOIS']]
